Agency Name,Indicator Name,Period,Monthly Actual
NYC Transit,Total Ridership - NYCT Bus,2014-07,54949008
NYC Transit,Total Ridership - NYCT Bus,2014-06,56216411
NYC Transit,Total Ridership - NYCT Bus,2014-05,59972215
NYC Transit,Total Ridership - NYCT Bus,2014-04,56943475
NYC Transit,Total Ridership - NYCT Bus,2014-03,59237901
NYC Transit,Total Ridership - NYCT Bus,2014-02,48252763
NYC Transit,Total Ridership - NYCT Bus,2014-01,51002214
NYC Transit,Total Ridership - NYCT Bus,2013-12,53181046
NYC Transit,Total Ridership - NYCT Bus,2013-11,55159303
NYC Transit,Total Ridership - NYCT Bus,2013-10,63165156
NYC Transit,Total Ridership - NYCT Bus,2013-09,57166478
NYC Transit,Total Ridership - NYCT Bus,2013-08,53706309
NYC Transit,Total Ridership - NYCT Bus,2013-07,54524753
NYC Transit,Total Ridership - NYCT Bus,2013-06,55007828
NYC Transit,Total Ridership - NYCT Bus,2013-05,60105544
NYC Transit,Total Ridership - NYCT Bus,2013-04,59560909
NYC Transit,Total Ridership - NYCT Bus,2013-03,57796137
NYC Transit,Total Ridership - NYCT Bus,2013-02,52375116
NYC Transit,Total Ridership - NYCT Bus,2013-01,55788332
NYC Transit,Total Ridership - NYCT Bus,2012-12,53221342
NYC Transit,Total Ridership - NYCT Bus,2012-11,51787611
NYC Transit,Total Ridership - NYCT Bus,2012-10,55202371
NYC Transit,Total Ridership - NYCT Bus,2012-09,55187634
NYC Transit,Total Ridership - NYCT Bus,2012-08,53981834
NYC Transit,Total Ridership - NYCT Bus,2012-07,53077065
NYC Transit,Total Ridership - NYCT Bus,2012-06,55703596
NYC Transit,Total Ridership - NYCT Bus,2012-05,60349656
NYC Transit,Total Ridership - NYCT Bus,2012-04,55797244
NYC Transit,Total Ridership - NYCT Bus,2012-03,60752861
NYC Transit,Total Ridership - NYCT Bus,2012-02,53946511
NYC Transit,Total Ridership - NYCT Bus,2012-01,53239455
NYC Transit,Total Ridership - NYCT Bus,2011-12,55049742
NYC Transit,Total Ridership - NYCT Bus,2011-11,56291862
NYC Transit,Total Ridership - NYCT Bus,2011-10,59104357
NYC Transit,Total Ridership - NYCT Bus,2011-09,56742629
NYC Transit,Total Ridership - NYCT Bus,2011-08,50284616
NYC Transit,Total Ridership - NYCT Bus,2011-07,52969610
NYC Transit,Total Ridership - NYCT Bus,2011-06,57107762
NYC Transit,Total Ridership - NYCT Bus,2011-05,59422831
